Name,Hash,Users,Version,All Hosts,Permissions
WOT: Website Security & Safety Checker,409207dfed627dc0f422d8aa1e3ea90f762dbc9347f73d8a1026021458e44ce1,900000,3,True,"['tabs', 'contextMenus', 'webNavigation', 'webRequest', 'declarativeNetRequest', 'declarativeNetRequestFeedback', 'storage', 'scripting', 'alarms']"
"UltraSurf Security, Privacy & Unblock VPN",716a73ed0d99d8020fbae6f973a972402890e5ba1c5c4c39aa292d30e678a2ba,900000,3,True,"['webRequest', 'storage', 'proxy', 'alarms']"
RetailMeNot Deal Finder™️,f3f78121ccef4681befc418a559680ad7843ee6108beffa11637bc100bb0f7c1,900000,3,True,"['cookies', 'storage', 'tabs', 'webNavigation', 'webRequest']"
Адаптер Рутокен Коннект,e4616cd4e007af52c2cad3da3b4b6043f2bdb13bb09c46071c7f5dd7759ff15c,800000,3,True,"['webRequest', 'declarativeNetRequestWithHostAccess', 'storage', 'proxy', 'nativeMessaging', 'notifications', 'tabs', 'scripting']"
HD Video Downloader,849f8b9c27eb5f78c34f05d5453b425384f11c8239495654a18b3e1ee5bdeb5c,800000,3,True,"['storage', 'downloads', 'webRequest', 'declarativeNetRequest', 'declarativeNetRequestWithHostAccess']"
Postman Interceptor,257dd068d83b71d8b87037c8adfa9e8c0f9670d04660a743c5a021ca2f075121,800000,3,True,"['webRequest', 'nativeMessaging', 'storage', 'cookies']"
WinSafe - быстрый доступ к сайтам!,a807543d73ca78f08c24143a9ef8b6e9e21e0b074163b82684e9626d369c13a0,700000,3,True,"['tabs', 'storage', 'proxy', 'webRequest', 'webRequestBlocking', 'declarativeNetRequest', 'scripting', 'alarms', 'cookies', 'activeTab', 'management']"
Chatgpt powered search,9dba12da4dd5e1fe85c5bf2d1d523dbc7c30aadb74cdfe0a79c8b5f4d4f597e0,700000,3,True,"['storage', 'webRequest', 'declarativeNetRequest', 'alarms']"
Allow CORS: Access-Control-Allow-Origin,71679aa2d82f49d708564600b7ec406e81a7e745d661710dd4729341775f02fa,700000,3,True,"['storage', 'webRequest', 'declarativeNetRequest']"
Image downloader - Imageye,acc1e3ccf8f6188f9ef6a9294dc4d262e68877b9ddeb538f93526e6240517673,700000,3,True,"['activeTab', 'downloads', 'storage', 'webRequest', 'scripting', 'declarativeNetRequest']"
Quick Translate,1a8411528b359115bce86db76e9da9a29475091fb3d24c1bee3ac18ad1405691,700000,3,True,"['webRequest', 'contextMenus', 'storage', 'tabs']"
CrxMouse Chrome™ Gestures,89990d0d72964d585b2df204e350d6458f040160a0bdf3de44034fcb890cb6e9,700000,3,True,"['tabs', 'storage', 'contextMenus', 'webNavigation', 'webRequest', 'clipboardRead', 'clipboardWrite', 'bookmarks', 'unlimitedStorage']"
Ultimate video downloader,ef8be2594eaed548351078cf4d8365df2c0e0c2a28cef991f0a231c389485e04,700000,3,True,"['downloads', 'storage', 'webRequest', 'declarativeNetRequest']"
uBlock,d1043fa8045d9c0306b9d7559d7536b56a93f8c05a294663f6cc6f3c9cf63e7d,700000,3,True,"['alarms', 'declarativeNetRequest', 'declarativeNetRequestFeedback', 'tabs', 'webRequest', 'webNavigation', 'storage', 'unlimitedStorage', 'scripting']"
Video Downloader for Chrome,d7d6e3d60fefa66d12a14510589b2e59d2983634bce9768b04b7cd4a35fdf367,700000,3,True,"['storage', 'tabs', 'webRequest', 'downloads']"
Fast save and repost for Instagram,8374854d15e38006d203ec65c46f21becc51cc8ec536a97fca08a49c953cfe93,700000,3,True,"['storage', 'cookies', 'downloads', 'tabs', 'webRequest', 'system.display', 'declarativeNetRequest']"
ShopBack Button - Earn Cashback as you shop!,7083ebf1260e20a32b2205afe2dbd1fb04f98af640c900e5254233e4d1a6f8b8,700000,3,True,"['tabs', 'storage', 'cookies', 'webNavigation', 'scripting', 'webRequest', 'alarms']"
Cuponomia - Cupom e Cashback,518612481bc58df005d5de11f59b457ea3b79876ddfd601ceca6f04df313d2ea,600000,3,True,"['tabs', 'storage', 'cookies', 'webRequest', 'scripting', 'alarms']"
AppWriter Cloud,f214b6a3628b6d9c5f158363589986234c814532c82137d9801e259209633daa,600000,3,True,"['webNavigation', 'webRequest', 'declarativeNetRequest', 'tabs', 'contextMenus', 'alarms', 'scripting', 'storage', 'system.display']"
ProNet: Доступ к сайтам!,5b581089313bcbfaaced14cae45b5c6c81b6d5e841ae547bbbb9ca6c0aa95c89,600000,3,True,"['tabs', 'storage', 'proxy', 'webRequest', 'webRequestBlocking', 'declarativeNetRequest', 'scripting', 'alarms', 'cookies', 'activeTab', 'management', 'offscreen']"
Video Downloader Online,bb579fc63fde06e253387f91810ec1b47b901840f80fc3b12727de2324ae5a45,600000,3,True,"['downloads', 'storage', 'webRequest', 'tabs', 'scripting']"
Immersive Translate: Web Page&PDF Translation,9d66b15c2dedfe830f55fa7f8ba268368a4b209f543c484bf00db12fd819b04e,600000,3,True,"['storage', 'activeTab', 'contextMenus', 'webRequest', 'declarativeNetRequestWithHostAccess', 'declarativeNetRequestFeedback', 'declarativeNetRequest']"
Talend API Tester - Free Edition,5cb91f1070227b3de49d4fbbcf5fba21ab81bb80c0cb4883a6b97ec8ea156f29,600000,3,True,"['storage', 'unlimitedStorage', 'webRequest', 'declarativeNetRequest', 'clipboardWrite', 'identity', 'scripting']"
Instant Data Scraper,f5d87c95be7eca7d4725b2c77f09874fdf9b80ef665cc1719b72143e17b9de9f,600000,3,True,"['webRequest', 'activeTab']"
Keyword Surfer,0a9f336154017ffab4ba6bb30c05571d09fc52c3eab6f9eff112c3c0945d5b88,600000,3,True,"['storage', 'webRequest', 'scripting']"
Fnet - Доступ к сайтам!,d2876f38be0eafe10c8a4e4b6c184c9246d9ec2c8601340552ab106345e34536,600000,3,True,"['tabs', 'storage', 'proxy', 'webRequest', 'webRequestBlocking', 'declarativeNetRequest', 'scripting', 'alarms', 'cookies', 'activeTab', 'management', 'offscreen']"
CouponBirds - SmartCoupon Coupon Finder,504f7eedc8077a4ef8487a09245dc3c9df7dfd43329804aeba56790df1ea39ab,500000,3,True,"['tabs', 'storage', 'alarms', 'cookies', 'webRequest']"
Browser Security Plus,619654ed524df3de09ac23ae8dcfe24df16e213bd70c1948979afbf9153224a1,500000,3,True,"['management', 'webRequest', 'nativeMessaging', 'privacy', 'contentSettings', 'alarms', 'downloads']"
Video downloader,414d2bb14ff7c3cdb63f4d8692eda3e1831b7f49473908e6d9abafb40f72da50,500000,3,True,"['storage', 'downloads', 'webRequest', 'cookies', 'unlimitedStorage', 'tabs', 'scripting', 'declarativeNetRequestWithHostAccess']"
Grass Extension,b096137921464899449f67d8ade9a260d00d33cfb3182a86e21bc319f5537cf7,500000,3,True,"['storage', 'background', 'webRequest', 'declarativeNetRequestWithHostAccess']"
